log10_mej_dyn,v_ej_dyn,Ye_dyn,log10_mej_wind,v_ej_wind,Ye_wind,inclination_EM,redshift,luminosity_distance,peak_mag_r,time_of_peak_r,rise_time_r,decline_rate_r
-1.9111158402730237,0.31382835282548854,0.2932199941317494,-2.4287035805389787,0.10593213336534095,0.3441456773334257,0.8137756913722818,0.0079,40.0,16.943306,0.46415755,0.26856872,0.59268063
-2.815480255559418,0.2226695831930532,0.2214231191793237,-3.5899652709214482,0.13977307363037247,0.3422475522949341,0.5554868649278994,0.0079,40.0,18.75543,0.3686207,0.17303187,0.52443135
-1.6826699683738795,0.33918428715882376,0.32037357114930887,-2.036472998782749,0.07780584690511509,0.24053900621666485,0.11789742267804293,0.0079,40.0,16.333288,0.52084476,0.32525593,0.6164036
-2.117824607585848,0.26968275563507943,0.19819543205262347,-3.460353886561097,0.05259775599465608,0.20733107903364745,1.5566151556218333,0.0079,40.0,21.346458,0.19558883,0.0,0.42699957
-3.7458181629633156,0.14665673902342735,0.2576786980173249,-3.789706741505009,0.12756550036839215,0.2607599043614139,0.2745339279599611,0.0079,40.0,21.71655,0.19558883,0.0,0.4137057
-1.366824537372628,0.32357138729216417,0.1868278434298365,-2.2797022672222234,0.12023776599719718,0.23142726097179017,0.4010376146919764,0.0079,40.0,17.018112,0.23249216,0.036903337,0.5849377
-1.945706775218781,0.23253099389108348,0.24906012327716837,-1.7391012921654552,0.10454916456741936,0.2791576958431388,0.37057561315956283,0.0079,40.0,17.173971,0.73593056,0.54034173,0.590139
-1.8784360185782703,0.15257696263376813,0.18049330179567724,-1.053373856970898,0.13153427297292125,0.39586922383052087,1.4261910265668938,0.0079,40.0,16.538729,0.19558883,0.0,0.60171765
-3.654225148262179,0.15511873078352675,0.18231572487430436,-1.2993842026156215,0.13400843726481326,0.2362142741810442,1.19959892210602,0.0079,40.0,16.83453,0.19558883,0.0,0.59081715
-2.784421863245119,0.2781328050752705,0.2724446754084031,-1.0427029543891195,0.10879033080181738,0.2637747886845938,0.7183719690931567,0.0079,40.0,15.931248,0.6558341,0.46024525,0.63427436
-2.999227254929203,0.13089567654778264,0.20275720843515332,-1.3779247516174475,0.1465927791853937,0.3450228632639145,1.500774992266816,0.0079,40.0,16.916594,0.19558883,0.0,0.58798045
-1.4986890940288187,0.18591656593017702,0.18447344531284945,-1.5739739782709927,0.12197119476173272,0.30183655657238434,0.082911940655159,0.0079,40.0,17.06385,0.19558883,0.0,0.5827861
-2.262227354064078,0.15215114580806965,0.3359536500270146,-3.9650275473180057,0.11768753761626287,0.20878562871467699,1.403774152188366,0.0079,40.0,17.775797,0.4381714,0.24258256,0.56195444
-1.7793910850629184,0.22144780881197534,0.1586006501480102,-1.8400804798532002,0.08614217925586454,0.23233800363226434,0.09491903693696259,0.0079,40.0,17.79158,0.41364002,0.2180512,0.56052446
-2.803238377868346,0.2153013675587031,0.2630296225391774,-3.5843634567797555,0.05022585786000077,0.3870499109546392,0.6143866604707443,0.0079,40.0,18.636183,0.31010976,0.11452094,0.52738637
-3.3866895060792293,0.24003157997843683,0.259652768366653,-3.797610898528826,0.0740942673894178,0.22063299854780571,0.08483066458279517,0.0079,40.0,19.547504,0.19558883,0.0,0.49215195
-2.503192294983182,0.18431635569358196,0.20012177488061195,-3.460411414957172,0.12639205068146298,0.3270185574419412,1.5691768228349734,0.0079,40.0,20.079006,0.19558883,0.0,0.47310224
-3.827759140015801,0.12737002555698074,0.24055434902256356,-1.159817530231762,0.12098712544371741,0.35846512976818234,1.436319671787758,0.0079,40.0,16.745981,0.92666453,0.7310757,0.6100293
-1.7662482921385565,0.2613088045030927,0.1675475566165271,-1.433878147545196,0.08310221448300942,0.2530878125449848,0.918600050814273,0.0079,40.0,18.449997,0.19558883,0.0,0.53201085
-2.295156733962612,0.2059551406629408,0.2942540291847771,-0.7269374357400018,0.11255829745384388,0.34501560062773806,0.3421894566486431,0.0079,40.0,15.3220215,0.92666453,0.7310757,0.66312027
-1.953943928854696,0.26980704971021063,0.19433942967536463,-0.6227405793964711,0.06952874794731372,0.23397903580603607,0.43476143407883194,0.0079,40.0,15.36507,0.69472903,0.4991402,0.65370804
-3.0431450462592977,0.14499340328498173,0.18867707196531117,-0.9183606531840178,0.07636277192690441,0.2569500549667581,0.7061410681375382,0.0079,40.0,16.34456,0.8258092,0.63022035,0.6228645
-1.380115148889923,0.12316879171763156,0.2129756956555006,-3.5414334577177877,0.14474080939024964,0.26236440617684154,0.5070219250211631,0.0079,40.0,17.08381,0.19558883,0.0,0.58178324
-1.5894928833124382,0.17710767701361732,0.3304739840526284,-0.9697667737376903,0.09131805729355945,0.39928699811284474,0.033479804366858656,0.0079,40.0,15.961269,0.98162127,0.78603244,0.640786
-1.8991662895277437,0.225005884288632,0.3092933296567085,-1.1068806430122962,0.07449875942988546,0.24291445904359146,1.0308445269874769,0.0079,40.0,16.465954,0.73593056,0.54034173,0.6168314
-3.474675965824818,0.21063655405874748,0.3393784582267515,-0.9949394580607231,0.09871082468389913,0.225841492926717,0.9635702985032497,0.0079,40.0,16.720327,0.19558883,0.0,0.59231836
-2.7403340105471354,0.30636958771289724,0.2803924692066171,-3.476716953194608,0.08870158797873662,0.3851382874962821,1.420487930897465,0.0079,40.0,19.75634,0.23249216,0.036903337,0.48546752
-3.881774950063309,0.2069026581643495,0.2825843022064175,-3.5970930887121813,0.12295290373491057,0.23238613876407055,0.7490405746149478,0.0079,40.0,20.060867,0.24628034,0.050691515,0.47447667
-3.5835772889254485,0.24200147130870814,0.24600619988524336,-0.8130562780821711,0.1462116106490881,0.3758559839258811,0.5414675710061899,0.0079,40.0,15.387291,0.69472903,0.4991402,0.6553467
-2.1564713637054993,0.2565085862617042,0.33103726467339506,-3.4003351121601755,0.10917374244576919,0.330091325529338,0.8034893120197015,0.0079,40.0,17.520107,0.39048213,0.1948933,0.5701132
-1.989909280840176,0.12502122007853667,0.25217542985406577,-2.728333600736107,0.10911471869369149,0.3153722996141038,0.30582617654455074,0.0079,40.0,18.331102,0.73593056,0.54034173,0.54747665
-1.3887202532569,0.23848067667462347,0.22101201415900493,-2.4269494637906033,0.0864833858723483,0.3502677423093154,0.9825964869083618,0.0079,40.0,17.853827,0.19558883,0.0,0.5537224
-3.1206071317330872,0.1993111896617327,0.278075001983533,-3.5706998042879077,0.10646309319752953,0.34519979142961,1.209564823798071,0.0079,40.0,19.973864,0.19558883,0.0,0.47692287
-3.00014036559675,0.21689442936714853,0.2592278986801927,-3.928816104548402,0.08193288663871381,0.22210523788366276,0.24105709567418845,0.0079,40.0,18.746628,0.27635837,0.08076954,0.52294534
-2.73268295000493,0.14306610165390754,0.1748039630619791,-0.5705997726834942,0.0501092074312342,0.3998932220813378,0.5001151887747152,0.0079,40.0,16.634153,0.73593056,0.54034173,0.60992503
-3.488622485150734,0.3000487300991884,0.2285450827824859,-0.9757193674535642,0.13660961728784848,0.38837794528974573,1.363138590777753,0.0079,40.0,15.953392,0.49168488,0.29609606,0.62966996
